restaurant_name,dish_name,category,price
The Attic,Beer Battered Onion Rings,apps,17.00
The Attic,Portuguese Mussels,apps,25.00
The Attic,House-made Crab Cakes,apps,22.00
The Attic,Attic Salad,salad,20.00
The Attic,Butternut Squash & Spinach Salad,salad,22.00
The Attic,Caesar Salad,salad,18.00
The Attic,French Onion Soup,chowder,15.00
The Attic,Attic Smash Burger,burger,24.00
The Attic,Veggie Burger,burger,23.00
The Attic,Turkey Burger,burger,24.00
The Attic,Mr. Bowen Burger,burger,27.00
The Attic,Black & Bleu Burger,burger,27.00
Biscuits,Chicken & Biscuits,fried_chicken,16.00
Biscuits,Shrimp & Grits,fish,18.00
Biscuits,Fried Chicken & Waffle,fried_chicken,17.00
Biscuits,Biscuits Benedict,breakfast,15.00
Biscuits,Buttermilk Pancakes,breakfast,12.00
Back Door Donuts,Apple Cider Donut,breakfast,4.00
Back Door Donuts,Apple Fritter,breakfast,9.00
Back Door Donuts,Boston Cream Donut,breakfast,3.50
Back Door Donuts,Maple Bacon Donut,breakfast,4.00
Back Door Donuts,Cinnamon Roll,breakfast,6.50
TigerHawk Sandwich Company,Peruvian Chicken Sandwich,sandwich,14.00
TigerHawk Sandwich Company,Steak & Cheese,sandwich,15.00
TigerHawk Sandwich Company,Tuna Melt,sandwich,13.00
TigerHawk Sandwich Company,Turkey Club,sandwich,14.00
TigerHawk Sandwich Company,Veggie Bowl,salad,12.00
The Sweet Life Café,Pan Roasted Halibut,fish,42.00
The Sweet Life Café,Duck Confit,entree,38.00
The Sweet Life Café,Beef Tenderloin,entree,48.00
The Sweet Life Café,Lobster Risotto,entree,44.00
The Sweet Life Café,Roasted Chicken,fried_chicken,32.00
MV Salads,Greek Salad,salad,12.00
MV Salads,Caesar Salad,salad,11.00
MV Salads,Cobb Salad,salad,14.00
MV Salads,Asian Sesame Salad,salad,13.00
MV Salads,Southwest Salad,salad,13.00
ArtCliff Diner,Clam Chowder,chowder,9.00
ArtCliff Diner,Blueberry Pancakes,breakfast,12.00
ArtCliff Diner,Classic Burger,burger,14.00
ArtCliff Diner,Fish & Chips,fish,18.00
ArtCliff Diner,Lobster Benedict,breakfast,24.00
Garde East,New England Clam Chowder,chowder,14.00
Garde East,Garde Burger,burger,18.00
Garde East,Pan Roasted Cod,fish,28.00
Garde East,Crispy Calamari,apps,16.00
Garde East,Lobster Roll,lobster_roll,36.00
Garde East,Citrus Salad,salad,22.00
Garde East,Striped Bass,fish,60.00
Garde East,Lobster Cavatelli,pasta,42.00
Porto Pizza,Margherita Pizza,pizza,16.00
Porto Pizza,Pepperoni Pizza,pizza,18.00
Porto Pizza,Buffalo Chicken Pizza,pizza,20.00
Porto Pizza,Greek Salad,salad,10.00
